Title,Year,DOI,Abstract,Data Category,Data Type,Broad_Data_Category,Model Used,Broad_Model_Category,Sample Size,Data Source,Study Population Details,True N Verification,Broad Validation Approach,Validation Approach,Their Limitations,Research Result,Our Critical Analysis,Inclusion/Exclusion Decision,Reasoning,Broad_Reasoning_Category,Further Exclusion based on sample size,ACM,Where was the study done,Column1,"Further Exclusion based on sufficient methodological detail and evaluation evidence eg, very short paper",Studies with Potential Data Leakage (Non-Subject-Independent)?,_leakage_detail,_source_db,_pub_title,score,score_reasons,DOI_clean,Title_clean,title_exclude,autism_primary
Prototype of a Predictive System for Selecting Therapeutic Pets in Patients with Attention Deficit Hyperactivity Disorder,2025,10.1109/C366505.2025.11340570,"This study explores the therapeutic care of adolescents with Attention-Deficit Hyperactivity Disorder (ADHD) through the integration of animal-assisted therapy (AAT) and predictive technological tools. The main psychological and behavioral traits of ADHD are identified, highlighting the potential of AAT to strengthen self-regulation, attention, and motivation in this population. As part of this innovation, PetMatcher was developed, an artificial intelligencebased application aimed at optimizing the matching between patients and therapeutic animals, considering clinical, emotional, and individual preference variables. To train and validate the predictive model, a synthetic dataset of 200 simulated cases was generated. The results obtained demonstrate the positive impact of AAT and the usefulness of the application as a support for personalized interventions. This work proposes an innovative solution that integrates science, technology, and human sensitivity to improve ADHD care.",Wearable/Actigraphy,Wearable Sensor,Wearable,Not specified,Not specified,200,Not specified,Adolescents,VERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Adequate: n=200,No,Not specified,,Adequate: 6 pages,Unknown,Not clearly stated,IEEE Conferences,2025 IEEE Colombian Caribbean Conference (C3),12,Good n=200; Validation described; Detailed abstract; 6-page paper,10.1109/c366505.2025.11340570,prototype of a predictive system for selecting therapeutic pets in patients with attention deficit hyperactivity disorder,False,False
A Study of the ADHD-200 Repository for Attention Deficit Categorization Using Deep Neural Networks,2023,10.1109/ICAECC59324.2023.10560312,"Attention Deficit Hyperactivity Disorder(ADHD) is a socio-behavioral disorder, affecting nearly 1% of people worldwide. Presently, the only traditional approach for diagnosing ADHD is standardized tests which prolong the procedure and raise the expense of care. The goal of this article was to explore the potential of Neural Networks in classifying ADHD patients and controlled children. For this purpose, the study utilizes Personal characteristic Information (PCI) attributes extracted from a sizable collection. ADHD-200 is a multi-site repository that gathered information from several sources including eight different research and clinical institutes. The methodology and results involve two steps: In order to distinguish ADHD from typically developed(TD), a neural network model (NN) was first constructed in Python using the TensorFlow framework. Second, by employing the same repository, the experimental design utilizes the four distinct hidden layer Neural Network models configurations and demonstrated that the Neural Network with configuration(1024-512-256-2) performed best, averaging 75% accuracy. With regard to the ADHD-200 dataset, its accuracy is much greater than any other that is currently known. This study determined the best PCI characteristic for ADHD classification performance. In the future, additional discriminative features such as neuroimaging may enhance performance and ultimately enable the clinical diagnosis of ADHD.",Clinical Records/EHR,Clinical Data,Clinical,Deep Neural Network; Random Forest,Deep Learning + Machine Learning,Not reported,ADHD-200,"Children, ADHD vs Control",UNVERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Sample size not reported in abstract,No,India,,Borderline: 5 pages,Possible,Medium Risk - verify,IEEE Conferences,"2023 IEEE Fifth International Conference on Advances in Electronics, Computers and Communications (ICAECC)",12,Validation described; Uses ADHD-200 dataset; Reports 2 metrics; Detailed abstract; Multi-site/external validation,10.1109/icaecc59324.2023.10560312,a study of the adhd-200 repository for attention deficit categorization using deep neural networks,False,False
Multi-LSTM Networks for Accurate Classification of Attention Deficit Hyperactivity Disorder from Resting-State fMRI Data,2020,10.1109/IAI50351.2020.9262176,"Attention deficit hyperactivity disorder (ADHD) is a widespread mental disorder among young children. Due to the complex pathological mechanisms and clinical symptoms, the diagnosis of ADHD is still challenging. In this paper, we propose a novel multi-network of long short term memory (multi-LSTM) for the identification of ADHD. The Gaussian mixture model (GMM) is introduced to cluster different regions of interests (ROIs) for feature selection. Then, the data augmentation and phenotypic information are used to further improve the classification performance. The simulation experiment demonstrates that the proposed model outperforms the state-of-the-art methods based on the multi-site ADHD-200 global competition dataset. It is anticipated that the proposed ROI-based clustering method and multi-LSTM model can provide valuable insights into the auxiliary diagnosis of ADHD from the rs-fMRI signal.",fMRI,Neuroimaging (fMRI),Neuroimaging,LSTM; Random Forest,Deep Learning + Machine Learning,Not reported,ADHD-200,Children,UNVERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Sample size not reported in abstract,No,China,,Adequate: 6 pages,Possible,Medium Risk - verify,IEEE Conferences,2020 2nd International Conference on Industrial Artificial Intelligence (IAI),12,Validation described; Uses ADHD-200 dataset; Detailed abstract; 6-page paper; Multi-site/external validation,10.1109/iai50351.2020.9262176,multi-lstm networks for accurate classification of attention deficit hyperactivity disorder from resting-state fmri data,False,False
CSBNC-PAL: Consistency Semi-Supervised Brain Network Classification Framework With Prototypical-Adversarial Learning,2025,10.1109/JBHI.2025.3569734,"In recent years, semi-supervised learning (SSL) for functional brain network (FBN) classification has gained considerable attention due to its potential to leverage large amounts of unlabeled data from multisite. However, existing SSL methods often struggle to address the distributional differences across different sites, which limits their ability to extract discriminative features from the unlabeled data, thus hindering classification performance. To overcome this challenge, we propose a novel consistency semi-supervised FBN classification framework with prototypical-adversarial learning, termed CSBNC-PAL. Specifically, we first design a contrastive consistency module (CCM) that utilizes contrastive learning to more effectively exploit unlabeled data and learn preliminary feature representations. Then, we introduce a prototype alignment module (PAM) that computes site-aware prototypes through weighted feature clustering to guide inter-site feature alignment, and achieve inter-site equilibrium feature representations. Finally, we develop an adversarial alignment module (AAM) that employs site-discriminative adversarial training based on a gradient reversal layer to guide intra-site feature alignment, and learn site-invariant features. The three modules above are optimized collectively in an end-to-end manner, ensuring effective learning from both labeled and unlabeled data while alleviating the distribution differences of multisite data. Experiments on the ABIDE I, ABIDE II, and ADHD-200 datasets demonstrate that the CSBNC-PAL outperforms many state-of-the-art SSL methods in FBN classification.",Not specified,Not specified,Not specified,Random Forest,Machine Learning,Not reported,ADHD-200,Not specified,UNVERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Sample size not reported in abstract,No,China,,Adequate: 14 pages,Possible,Medium Risk - verify,IEEE Journals,IEEE Journal of Biomedical and Health Informatics,12,Validation described; Journal/indexed source; Uses ADHD-200 dataset; Detailed abstract; 14-page paper; Multi-site/external validation,10.1109/jbhi.2025.3569734,csbnc-pal: consistency semi-supervised brain network classification framework with prototypical-adversarial learning,False,False
NeuroScope:A Transformer-Based Explainable EEG Diagnostic Framework for ADHD Detection in Children,2025,10.1109/ICOIICS67115.2025.11390130,"Conventional diagnosis of ADHD is in the form of subjective behavioral assessment, notwithstanding this neurodevelopmental disorder among 5-12% of children in the world. We present a deep learning model, NeuroScope, which allows ADHD diagnosis based on EEG signals to make them transparent and objective. The system is implemented with the dual-transformer architecture, which consists of Vision Transformer (ViT) to learn spatiotemporal patterns and Time-Series Transformer (TST) to learn long-range temporal patterns. To solve the problem of clinical interpretability, NeuroScope incorporates Explainable AI (XAI) methods - Grad-CAM and SHAP - to offer clear diagnostic explanations. As found in the ADHD-200 consortium dataset, the system has a 98.5% classification accuracy with precision, recall, and F1-scores of over 0.95, and is significantly superior to current CNN-based methods, but can be clinically used due to its explainability capabilities.",EEG,EEG Signal,Neurophysiological,CNN/ConvNet; Transformer; Deep Neural Network; Explainable AI,Deep Learning + Machine Learning,Not reported,ADHD-200,Children,UNVERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Sample size not reported in abstract,No,India,,Adequate: 6 pages,Possible,Medium Risk - verify,IEEE Conferences,"2025 International Conference on Intelligent Computing, Information and Control Systems (ICOIICS)",12,Validation described; Uses ADHD-200 dataset; Reports 4 metrics; Detailed abstract; 6-page paper,10.1109/icoiics67115.2025.11390130,neuroscope:a transformer-based explainable eeg diagnostic framework for adhd detection in children,False,False
Temporal Normalization and Brain Image Analysis for Earlyâ€Stage Prediction of Attention Deficit Hyperactivity Disorder (ADHD),2025,10.1002/9781394280735.ch6,"Summary <p>A neurological condition known as attention deficit hyperactivity disorder (ADHD) impacts a person's behavior. Concern has been intrigued by the growing rates of ADHD in kids and teenagers throughout the world, which calls for strategies for early detection and diagnosis. This chapter aims to analyze the different machine learning algorithms on the ADHD dataset to serve as a proof of concept of the feasibility of using machine learning models to produce a medically viable solution for the early detection of ADHD. It also discusses the Exploratory Data Analysis methods on the ADHDâ€200 dataset as it provides a better overview of data by quickly analyzing and generating detailed reports of the dataset, saving both time and effort. The importance of temporal normalization on 4D NIfTI data and how it affects statistical assumptions, confounding factors, and comparability. Preprocessing, feature extraction, statistical analysis, crossâ€validation, and interpretation/validation are some of the phases in this study of brain images for the identification of ADHD. The analyzed Kâ€nearest neighbors (accuracy: 0.92), random forest (score: 0.77), and linear regression (score: 0.765) algorithms show promising possibilities for analyzing the presented data. This study adds an understanding of ADHD and supports programs like the ADHDâ€200 Sample, which encourages open data sharing to increase this field's scientific expertise.</p>",Facial/Image,Computer Vision,Behavioral,Random Forest,Machine Learning,200,Not specified,Adolescents,VERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Adequate: n=200,No,India,,Adequate: 17 pages,Unknown,Not clearly stated,Wiley-IEEE Press eBook Chapters,Generative Artificial Intelligence for Biomedical and Smart Health Informatics,12,Good n=200; Validation described; Reports 2 metrics; Detailed abstract; 17-page paper,10.1002/9781394280735.ch6,temporal normalization and brain image analysis for earlyâ€stage prediction of attention deficit hyperactivity disorder (adhd),False,False
Using fMRI-Based Multi-Scale Perception Models to Explore Cognitive Load and Attention Allocation in Education,2025,10.1109/ACCESS.2025.3571711,"The study of cognitive load and attention allocation has gained prominence in educational research due to its critical role in optimizing teaching strategies. Cognitive load refers to the mental effort required to process information, while attention allocation describes how learners distribute their cognitive resources across tasks. Traditional methods, such as Cognitive Load Theory (CLT) and behavioral measures (e.g., reaction times, eye-tracking), provide valuable insights but fall short in capturing real-time neural mechanisms. These approaches are limited by their reliance on single-task contexts and their inability to probe dynamic, multi-scale brain processes during learning. To address these gaps, we propose a novel framework integrating fMRI-based multi-scale perception models with behavioral and physiological data. This method allows for real-time analysis of brain activity, providing a granular understanding of how cognitive load and attention are distributed across complex learning tasks. Our approach leverages neural data from key brain regions involved in memory and attention, enabling the development of adaptive, personalized educational tools. Technically, our method employs a hybrid CNN-ViT architecture with dynamic uncertainty calibration, enabling high-resolution multimodal fusion across EEG and fMRI signals. Experimental results show that our model achieves up to 91.83% accuracy on the ADHD-200 dataset, significantly outperforming state-of-the-art baselines. Experimental results demonstrate that our method significantly improves the understanding of neural mechanisms underlying learning. By correlating cognitive load with brain oscillations (e.g., theta, alpha bands), we identify biomarkers that predict learning efficiency and attention shifts. This research contributes to the design of adaptive learning systems, paving the way for personalized, scalable educational solutions that align with neural capacities.",fMRI,Neuroimaging (fMRI),Neuroimaging,CNN/ConvNet; Random Forest,Deep Learning + Machine Learning,Not reported,ADHD-200,Not specified,UNVERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Sample size not reported in abstract,No,China,,Adequate: 18 pages,Possible,Medium Risk - verify,IEEE Journals,IEEE Access,12,Validation described; Journal/indexed source; Uses ADHD-200 dataset; Reports 2 metrics; Detailed abstract; 18-page paper,10.1109/access.2025.3571711,using fmri-based multi-scale perception models to explore cognitive load and attention allocation in education,False,False
"Toward a fair, gender-debiased classifier for the diagnosis of attention deficit/hyperactivity disorder- a Machine-Learning based classification study",2025,10.1186/s12911-025-03126-0,"Background: Attention deficit/hyperactivity disorder (ADHD) is the most common neurodevelopmental disorder. Gender disparities in the diagnosis of ADHD have been reported, suggesting that females tend to be diagnosed later in life than males are. The delayed diagnosis in females has been attributed to an inequality in the diagnostic criteria, failing to focus on the gender differences regarding symptomatology, comorbidity, and societal factors contributing to this disparity. Methods: In this study, we introduced debiased classifiers for the diagnosis of ADHD via different bias mitigation algorithms of the AI Fairness 360 toolbox on a training dataset of 400 children and adolescents with and without ADHD (98 females, 25 ADHD patients, 73 typically developing females), a subsample of the Child Mind Institute dataset. Test data were acquired in an earlier study. Two datasets were used, one including personal characteristic features, scores of the clinical questionnaire Child Behavior Checklist, and wavelet variance coefficients as quantifiers of neural dynamics (fMRI), a second dataset included personal characteristic features, scores of the clinical questionnaire Child Behavior Checklist, and radiomic features of neural structure (sMRI). Results: We found that the reweighed XGBoost model achieved the best accuracy and highest fairness in both datasets. Using model explanation, we showed how reweighing influenced feature importance at the global and local levels. Conclusion: Based on methodological characteristics and insights from global and local model explana-tion, we discuss the reasons of these findings and conclude, that using the combination of bias mitigation and model explanation, improved classification models can be achieved. © The Author(s) 2025.",fMRI,Neuroimaging (fMRI),Neuroimaging,XGBoost/GBM,Machine Learning,400,Not specified,"Children, Adolescents, ADHD vs Control",VERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Adequate: n=400,No,Not specified,,Adequate: 290 pages,Unknown,Not clearly stated,Scopus,,12,Good n=400; Validation described; Journal/indexed source; Detailed abstract,10.1186/s12911-025-03126-0,"toward a fair, gender-debiased classifier for the diagnosis of attention deficit/hyperactivity disorder- a machine-learning based classification study",False,False
Graph-Based Analysis of Electroretinograms for Reducing Computational Complexity and Classifying Neurodevelopmental Disorders,2025,10.1109/BSN66969.2025.11337467,"Electroretinogram (ERG) signals show distinctive patterns in neurodevelopmental disorders including autism spectrum disorder (ASD) and attention deficit/hyperactivity disorder (ADHD). Traditional ERG analysis relies primarily on time-domain features, limiting the capture of complex nonlinear relationships. We propose ERG-Graph, a novel graph signal processing approach that transforms ERG signals into graph networks to extract topological features for improved classification. Using 5,838 ERG recordings from 278 subjects across four groups (Control, ADHD, ASD, ASD+ADHD), we applied quantization and k-nearest neighbor graph construction to create ERG-graphs and extracted 25 graph-level features including centrality measures, spectral properties, and connectivity metrics. Seven machine learning algorithms were evaluated with leave-one-subject-out cross-validation, achieving balanced accuracies of 0.77 for ADHD vs. Control and 0.76 for ASD vs. Control using Random Forest, outperforming traditional ERG features. ERG-Graph demonstrates superior performance in multi-class scenarios and captures subtle topological patterns associated with neurodevelopmental conditions, offering a promising advancement in automated ERG-based diagnosis. © 2025 IEEE.",Not specified,Not specified,Not specified,GNN/GCN; Random Forest; KNN,Deep Learning + Machine Learning,278,Not specified,ADHD vs Control,VERIFIED,Cross-Validation,k-Fold Cross-Validation,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Adequate: n=278,No,Not specified,,Not assessed,No,Low Risk,Scopus,,12,Good n=278; Validation described; Journal/indexed source; Detailed abstract,10.1109/bsn66969.2025.11337467,graph-based analysis of electroretinograms for reducing computational complexity and classifying neurodevelopmental disorders,False,False
Prediction of Attention Deficit Hyperactivity Disorder and Autism Spectrum Disorder Patients Emotion Recognition using Machine Learning Models,2025,10.1109/ICICCS65191.2025.10984719,"To design a machine learning-based approach to predict and differentiate emotional recognition patterns in patients with ASD and ADHD, thus aiding in precise diagnosis and personalized care strategies. Current approaches of group 1 emotional recognition in ADHD and ASD rely mainly on traditional statistical methods and a relatively small number of datasets. Such approaches group 2 often consider only simple facial expression analysis and vocal tone evaluations without integrating the multi-modal features, leading to lower classification accuracy. Conversely, the method under this study employed machine learning algorithms, namely Random Forests and Deep Neural Networks, to analyze multi-modal data including facial expressions, vocal tones, and physiological signals of 200 samples from ADHD and ASD patients. The Random Forest model was 92 % accurate in classification compared to existing methods, and the Deep Neural Networks further improved detection of subtle variations in emotions and proved to be a more robust and reliable method for distinguishing the patterns of emotional recognition between both groups. The proposed machine learning framework is thus a strong, data-driven approach to improving diagnostic accuracy and personalizing interventions for ASD and ADHD. This is, therefore, promising in clinical application in the management of these neurodevelopmental conditions on time and effectively.",Facial/Image,Computer Vision,Behavioral,Deep Neural Network; Random Forest,Deep Learning + Machine Learning,200,Not specified,Not specified,VERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Adequate: n=200,No,India,,Adequate: 6 pages,Unknown,Not clearly stated,IEEE Conferences,2025 International Conference on Intelligent Computing and Control Systems (ICICCS),12,Good n=200; Validation described; Detailed abstract; 6-page paper,10.1109/iciccs65191.2025.10984719,prediction of attention deficit hyperactivity disorder and autism spectrum disorder patients emotion recognition using machine learning models,False,False
Classification of Attention Deficit Hyperactivity Disorder Using Machine Learning,2022,10.1109/GCAT55367.2022.9971947,"The global burden of mental ailments continues to rise, posing serious health risks as well as huge social, human rights, and economic ramifications in every country. One such disorder is the attention deficit hyperactivity disorder (ADHD) which is prevalent among children and teenagers. There is no single test that can diagnose ADHD. Symptoms must pose problems in at minimum two places (such as school, family, job, or leisure time) for at least six months to be diagnosed. Facing issues in paying attention by youngsters can lead to low academic performance. In addition to this, ADHD is sometimes linked to various mental illnesses and substance abuse issues, which can lead to further harm, especially in the contemporary generation. Unfortunately, ADHD is incurable. But early detection, together with an effective treatment and education plan, can help a child or adult with ADHD manage their symptoms. Therefore, this project attempts to classify ADHD using machine learning (ML) techniques in order to help provide valuable insights on establishing an automated diagnosis system. A comparative analysis of 4-way classification of ADHD using various machine learning algorithms has been done in WEKA toolkit (experimenter) while also experimenting with different subsets of features, including those created by applying genetic algorithm (GA), from the phenotypic characteristics of the ADHD-200 data set. The ML classifiers that have been used are Logistic, Support Vector Machine (SVM), Decision Tree (DT); implemented through J48 algorithm, Random Forest (RF), K-nearest neighbour (KNN); implemented through the instance-based learner (IBk) algorithm, and multi-layer perceptron (MLP). A total of 8 performance parameters were used for the evaluation of these classifiers: accuracy, precision, recall, F-measure, Kappa-statistic, root mean squared error (RMSE), Mathew's correlation coefficient (MCC), and area under the receiver operating characteristics (AUROC) curve.",Wearable/Actigraphy,Wearable Sensor,Wearable,Deep Neural Network; SVM; Random Forest; KNN; Decision Tree,Deep Learning + Machine Learning,Not reported,ADHD-200,"Children, Adolescents, Adults",UNVERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Sample size not reported in abstract,No,India,,Adequate: 8 pages,Possible,Medium Risk - verify,IEEE Conferences,2022 IEEE 3rd Global Conference for Advancement in Technology (GCAT),12,Validation described; Uses ADHD-200 dataset; Reports 5 metrics; Detailed abstract; 8-page paper,10.1109/gcat55367.2022.9971947,classification of attention deficit hyperactivity disorder using machine learning,False,False
Deep Spatio-Temporal Method for ADHD Classification Using Resting-State fMRI,2022,10.1109/ICTAI56018.2022.00165,"Attention Deficit Hyperactivity Disorder (ADHD) is a common psychiatric disorder among young children. However, there is no accurate and efficient method to diagnose ADHD up to now, due to the complexity of the pathological mechanism and clinical symptoms. This paper aims to present a spatio-temporal method for classification of ADHD and Typical Developing Children (TDC) using Resting-State functional Magnetic (rs-fMRI). To extract the most discriminative features in both space and time dimensions, 3-Dimensional Convolutional Neural Network (3D-CNN) and Gated Recurrent Unit (GRU) were respectively used to process 3D spatial and 1D temporal information in rs-fMRI. Before GRU, 1D filters with different scales were employed to capture significant features of different time intervals from temporal input. To evaluate proposed method, the 5-fold cross validation was employed using ADHD-200 global competition dataset. As a result, the average accuracy, sensitivity, specificity were 71.65 %, 68.00 % and 73.80 %, respectively. Experiment results show that our method performs better than existing methods, and our model not only has good generalization ability, but maintains a balance between sensitivity and specificity. We believe that our method can be used to build a more accurate automatic assistant diagnosis tool of ADHD.",fMRI,Neuroimaging (fMRI),Neuroimaging,CNN/ConvNet; GRU; Deep Neural Network; Random Forest,Deep Learning + Machine Learning,Not reported,ADHD-200,Children,UNVERIFIED,Cross-Validation,k-Fold Cross-Validation,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Sample size not reported in abstract,No,China,,Adequate: 6 pages,Possible,Medium Risk - verify,IEEE Conferences,2022 IEEE 34th International Conference on Tools with Artificial Intelligence (ICTAI),12,Validation described; Uses ADHD-200 dataset; Reports 4 metrics; Detailed abstract; 6-page paper,10.1109/ictai56018.2022.00165,deep spatio-temporal method for adhd classification using resting-state fmri,False,False
Game-Based Cognitive Aging Assessment: Toward a Digital Biomarker of Cognitive Health,2025,10.1159/000548350,"Abstract Introduction: Cognitive performance declines with age and predicts important life outcomes, making it a promising – yet underutilized – biomarker of aging. In this study, we aimed to establish the feasibility and value of game-based digital biomarkers of cognitive aging using data from a home-based cognitive assessment game. Methods: Participants (N = 871; age 18–75) completed Tunnel Runner, a 20–25 min cognitive game measuring reaction speed, response inhibition, interference control, response-rule switching, and decision-making. To assess the game’s out-of-sample predictive accuracy, we trained machine learning models to predict participants’ chronological age based on 17 game-based cognitive metrics and evaluated their performance using nested cross-validation. Cognitive aging scores were calculated as out-of-sample prediction errors from the best-performing model, and then adjusted for age-dependence using generalized additive models. These aging scores were then considered alongside three other variables: depression, ADHD, and gamer identity. Results: The best-performing model, stacked ensemble from the automated machine learning framework AutoGluon, predicted out-of-sample chronological age with a mean absolute error of 6.97 years, a correlation of 0.626, and concordance of 0.698. No evidence of bias in predictive accuracy was found for gender or gaming identity. Prediction patterns and cognitive aging values met several expectations based on previous research: reduced cognitive aging in participants with self-reported ADHD, negative association between cognitive aging and gamer identity, and limited predictive differentiation under age 30. Findings regarding self-reported depression were inconclusive, though consistent with prior work. Conclusion: Game-based assessment can produce accessible digital biomarkers of cognitive aging that reflect meaningful individual differences. This approach enables scalable and low-burden cognitive aging assessment, with potential applications for early detection of cognitive decline, longitudinal tracking, and intervention evaluation. © 2025 Emerald Publishing Limited",Genetic,Genetic Data,Biological,Random Forest; Ensemble,Machine Learning,871,Not specified,ADHD vs Control,VERIFIED,Cross-Validation,k-Fold Cross-Validation,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Adequate: n=871,No,Not specified,,Not assessed,Possible,Medium Risk - verify,Scopus,,12,Large n=871; Validation described; Journal/indexed source; Detailed abstract,10.1159/000548350,game-based cognitive aging assessment: toward a digital biomarker of cognitive health,False,False
SSRepL-ADHD: Adaptive Complex Representation Learning Framework for ADHD Detection from Visual Attention Tasks,2024,10.1109/BigData62323.2024.10825780,"Self Supervised Representation Learning (SSRepL) can capture meaningful and robust representations of the Attention Deficit Hyperactivity Disorder (ADHD) data and have the potential to improve the modelâ€™s performance on also downstream different types of Neurodevelopmental disorder (NDD) detection. In this paper, a novel SSRepL and Transfer Learning (TL)-based framework that incorporates a Long Short-Term Memory (LSTM) and a Gated Recurrent Units (GRU) model is proposed to detect children with potential symptoms of ADHD. This model uses Electroencephalogram (EEG) signals extracted during visual attention tasks to accurately detect ADHD by preprocessing EEG signal quality through normalization, filtering, and data balancing. For the experimental analysis, we use three different models: 1) SSRepL and TL-based LSTM-GRU model named as SSRepL-ADHD, which integrates LSTM and GRU layers to capture temporal dependencies in the data, 2) lightweight SSRepL-based DNN model (LSSRepL-DNN), and 3) Random Forest (RF). In the study, these models are thoroughly evaluated using well-known performance metrics (i.e., accuracy, precision, recall, and F1-score). The results show that the proposed SSRepL-ADHD model achieves the maximum accuracy of 81.11% while admitting the difficulties associated with dataset imbalance and feature selection.",EEG,EEG Signal,Neurophysiological,LSTM; GRU; Deep Neural Network; Random Forest,Deep Learning + Machine Learning,Not reported,Not specified,Children,UNVERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Sample size not reported in abstract,No,Not specified,,Adequate: 9 pages,Unknown,Not clearly stated,IEEE Conferences,2024 IEEE International Conference on Big Data (BigData),11,Validation described; Reports 5 metrics; Detailed abstract; 9-page paper,10.1109/bigdata62323.2024.10825780,ssrepl-adhd: adaptive complex representation learning framework for adhd detection from visual attention tasks,False,False
Deep Learning Approach for an early stage detection of Neurodevelopmental Disorders,2021,10.1109/R10-HTC53172.2021.9641691,"Neurodevelopmental disorders are highly heterogeneous disorders. The symptoms are not same amongst all the individuals and cannot be detected easily by looking at the physiological changes in the individuals. The cause of these disorders may be genetics related but exact causes are not known till date. These disorders can last through one's life if proper treatment is not provided at early stages. Neurodevel-opmental disorders mainly include Autism, ADHD, Schizophrenia. Neurodevelopmental disorders can be identified by using sophisticated technologies. The Functional Magnetic Resonance Imaging(fMRI) is preferred to identify the neurodevelopmental disorders since it allows to measures the activity of brain by detecting changes associated with the blood flow. In this paper, we present a deep learning based system developed to detect the Autism, ADHD, Schizophrenia disorders. The proposed system is trained using ABIDE, ADHD 200, COBRE, UCLA, WUSTL datasets. It is observed that the proposed system is able to produce the results with 71.16% accuracy, 70.13% precision, 69% sensitivity, 80.80% specificity, and 69.56% F1-score.",fMRI,Neuroimaging (fMRI),Neuroimaging,Deep Neural Network,Deep Learning,Not reported,ABIDE,Not specified,UNVERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Sample size not reported in abstract,No,Not specified,,Adequate: 6 pages,Possible,Medium Risk - verify,IEEE Conferences,2021 IEEE 9th Region 10 Humanitarian Technology Conference (R10-HTC),11,Validation described; Uses ABIDE dataset; Reports 5 metrics; Detailed abstract; 6-page paper,10.1109/r10-htc53172.2021.9641691,deep learning approach for an early stage detection of neurodevelopmental disorders,False,False
